claim_id,claim_date,claim_amount,claimant_age,claimant_gender,vehicle_age,vehicle_make,vehicle_type,accident_type,injury_severity,police_report_filed,witness_present,location,day_of_week,time_of_day,weather_conditions,previous_claims,previous_accidents,litigation
CL-10000,2022-08-17,8920.05,61,F,9,Toyota,Compact,Single Vehicle,Moderate,1,1,Suburban,Wednesday,Evening,Clear,1,1,0
CL-10001,2022-02-21,4163.38,66,F,9,Nissan,Sedan,Multiple Vehicle,None,1,1,Urban,Monday,Evening,Clear,1,0,0
CL-10002,2023-07-18,10691.73,78,F,12,Subaru,Sedan,Single Vehicle,Moderate,1,0,Urban,Tuesday,Morning,Clear,0,0,0
CL-10003,2023-05-17,30565.76,84,M,18,Chevrolet,Compact,Multiple Vehicle,None,0,1,Urban,Wednesday,Morning,Clear,1,2,0
CL-10004,2023-04-03,3710.85,23,M,10,Hyundai,SUV,Multiple Vehicle,Minor,1,1,Suburban,Monday,Afternoon,Clear,2,1,0
CL-10005,2022-10-13,3710.92,26,M,12,BMW,Sports,Multiple Vehicle,None,0,1,Suburban,Thursday,Afternoon,Clear,1,1,0
CL-10006,2022-07-29,32697.55,23,M,7,Honda,Sports,Single Vehicle,Minor,1,0,Suburban,Friday,Afternoon,Clear,0,0,0
CL-10007,2022-06-28,12343.95,49,F,7,Nissan,Sedan,Single Vehicle,Moderate,0,0,Urban,Tuesday,Afternoon,Rain,0,1,1
CL-10008,2024-05-14,2797.92,58,F,3,Mercedes,Compact,Multiple Vehicle,None,0,0,Urban,Tuesday,Night,Snow,1,0,0
CL-10009,2022-03-07,9424.54,25,M,14,Ford,Sedan,Multiple Vehicle,None,1,0,Rural,Monday,Afternoon,Clear,0,0,1
CL-10010,2022-03-03,2818.33,67,M,10,Audi,Truck,Multiple Vehicle,None,1,0,Suburban,Thursday,Evening,Clear,0,1,0
CL-10011,2022-07-11,2810.52,79,F,10,Nissan,Sports,Multiple Vehicle,Minor,1,1,Suburban,Monday,Evening,Clear,2,1,0
CL-10012,2023-03-24,6570.56,79,M,0,Ford,Luxury,Multiple Vehicle,None,1,0,Suburban,Friday,Evening,Snow,1,1,0
CL-10013,2023-04-22,494.76,24,M,16,Honda,Truck,Pedestrian Involved,None,1,0,Suburban,Saturday,Night,Clear,1,1,0
CL-10014,2024-10-31,620.24,21,M,14,Audi,Sedan,Single Vehicle,None,1,0,Urban,Thursday,Afternoon,Rain,1,0,0
CL-10015,2022-02-24,2503.02,23,M,19,Audi,SUV,Single Vehicle,Minor,1,0,Suburban,Thursday,Evening,Clear,0,0,0
CL-10016,2023-02-12,1457.68,75,M,5,Chevrolet,Sports,Pedestrian Involved,None,1,0,Suburban,Sunday,Evening,Clear,1,1,0
CL-10017,2024-05-09,7165.96,39,M,14,Nissan,Luxury,Multiple Vehicle,Moderate,1,0,Suburban,Thursday,Evening,Clear,1,1,0
CL-10018,2023-03-28,1653.04,43,F,8,Subaru,Truck,Animal Involved,None,1,0,Suburban,Tuesday,Evening,Clear,0,0,0
CL-10019,2024-07-08,902.56,20,M,13,Toyota,Sports,Multiple Vehicle,Minor,1,1,Urban,Monday,Morning,Snow,0,0,0
CL-10020,2023-07-24,28531.91,58,M,17,Toyota,Compact,Multiple Vehicle,None,0,1,Urban,Monday,Afternoon,Clear,2,1,0
CL-10021,2022-01-14,3748.34,77,F,16,BMW,SUV,Multiple Vehicle,Minor,1,1,Urban,Friday,Afternoon,Clear,1,1,1
CL-10022,2022-11-23,5329.61,31,F,17,Mercedes,Truck,Multiple Vehicle,None,0,1,Urban,Wednesday,Night,Clear,0,1,0
CL-10023,2024-05-15,889.18,29,F,4,Ford,Compact,Multiple Vehicle,Moderate,1,0,Suburban,Wednesday,Morning,Rain,4,0,0
CL-10024,2023-11-28,2557.39,29,M,19,Nissan,Sedan,Multiple Vehicle,Major,1,1,Suburban,Tuesday,Night,Clear,0,1,1
CL-10025,2023-07-24,5614.5,30,F,19,Hyundai,Compact,Multiple Vehicle,Major,1,1,Urban,Monday,Evening,Clear,1,0,0
CL-10026,2022-11-15,1234.98,42,M,8,Mercedes,Truck,Bicycle Involved,Minor,1,0,Urban,Tuesday,Night,Clear,0,1,0
CL-10027,2023-03-17,7714.35,62,M,10,Chevrolet,Truck,Single Vehicle,Minor,0,0,Rural,Friday,Evening,Clear,1,0,0
CL-10028,2023-11-21,2390.44,36,M,0,Audi,Sedan,Single Vehicle,Moderate,1,0,Suburban,Tuesday,Evening,Rain,1,0,0
CL-10029,2022-07-29,3463.27,72,F,17,Subaru,Compact,Multiple Vehicle,Minor,1,1,Urban,Friday,Afternoon,Clear,2,0,0
CL-10030,2022-07-09,2387.38,62,F,5,Nissan,Compact,Multiple Vehicle,None,0,1,Suburban,Saturday,Afternoon,Clear,1,0,0
CL-10031,2024-02-18,45375.78,25,F,1,Mercedes,Sedan,Pedestrian Involved,Moderate,1,0,Urban,Sunday,Afternoon,Clear,1,0,0
CL-10032,2022-07-18,4835.81,70,F,14,Mercedes,Compact,Multiple Vehicle,Minor,0,0,Urban,Monday,Afternoon,Fog,1,1,0
CL-10033,2024-01-06,1381.25,72,F,13,Subaru,Sports,Multiple Vehicle,None,0,1,Urban,Saturday,Afternoon,Clear,0,1,0
CL-10034,2023-12-06,13187.89,49,M,4,BMW,Sedan,Multiple Vehicle,None,1,0,Urban,Wednesday,Morning,Clear,0,0,0
CL-10035,2023-06-26,1135.68,68,M,5,Ford,SUV,Multiple Vehicle,None,1,0,Urban,Monday,Afternoon,Fog,1,0,0
CL-10036,2022-03-30,6314.7,61,M,5,Ford,Truck,Pedestrian Involved,Minor,1,0,Rural,Wednesday,Night,Clear,3,1,0
CL-10037,2024-07-29,467.97,35,M,17,Mercedes,SUV,Single Vehicle,None,1,0,Suburban,Monday,Evening,Sleet,0,1,0
CL-10038,2022-09-13,998.42,39,F,13,Honda,Sports,Multiple Vehicle,None,1,1,Urban,Tuesday,Afternoon,Clear,1,1,0
CL-10039,2024-02-15,6224.41,54,F,9,Mercedes,Sports,Animal Involved,None,0,0,Urban,Thursday,Morning,Clear,2,0,0
CL-10040,2022-06-11,11922.23,73,M,13,Mercedes,Luxury,Pedestrian Involved,Minor,0,0,Urban,Saturday,Night,Rain,0,0,0
CL-10041,2023-08-24,6036.88,76,F,12,Subaru,Luxury,Multiple Vehicle,Moderate,1,1,Suburban,Thursday,Night,Snow,1,0,0
CL-10042,2024-01-11,4277.92,20,F,2,Audi,Luxury,Multiple Vehicle,None,1,0,Suburban,Thursday,Evening,Clear,0,1,0
CL-10043,2023-01-29,3424.38,45,M,5,Subaru,Sedan,Single Vehicle,None,1,1,Urban,Sunday,Night,Fog,0,1,0
CL-10044,2022-05-23,833.62,52,M,7,Nissan,Compact,Multiple Vehicle,None,1,0,Urban,Monday,Night,Clear,0,0,1
